"value_numeric","value_nominal","customerid","companyname","country","balance","orderid","orderdate","requireddate","pyear","shippeddate","shipvia","freight","shipname","shipaddress","shipcity","shipregion","shippostalcode","shipcountry","unitprice","quantity","discount","productname","supplierid","categoryid","quantityperunit","p_unitprice","unitsinstock","unitsonorder","reorderlevel","discontinued"
"585.9","M","SAVEA","Save-a-lot Markets","USA","$1,000.00",10393,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$18.60",42,"0.25","Tofu",6,7,"40 - 100 g pkgs.","$23.25",35,0,0,0
"58.8","L","SAVEA","Save-a-lot Markets","USA","$1,000.00",10393,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$11.20",7,"0.25","NuNuCa Nuß-Nougat-Creme",11,3,"20 - 450 g glasses","$14.00",76,0,30,0
"1307.25","H","SAVEA","Save-a-lot Markets","USA","$1,000.00",10393,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$24.90",70,"0.25","Gumbär Gummibärchen",11,3,"100 - 250 g bags","$31.23",15,0,0,0
"320","M","SAVEA","Save-a-lot Markets","USA","$1,000.00",10393,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$10.00",32,"0","Gorgonzola Telino",14,4,"12 - 100 g pkgs","$12.50",0,70,20,0
"48","L","HUNGC","Hungry Coyote Import Store","USA","$1,000.00",10394,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$30.34","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","$4.80",10,"0","Konbu",6,8,"2 kg box","$6.00",24,0,5,0
"394","M","HUNGC","Hungry Coyote Import Store","USA","$1,000.00",10394,"1996-12-25 00:00:00","1997-01-22","1996","1997-01-03",3,"$30.34","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","$39.40",10,"0","Tarte au sucre",29,3,"48 pies","$49.30",17,0,0,0
"241.92","M","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10395,"1996-12-26 00:00:00","1997-01-23","1996","1997-01-03",1,"$184.41","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$9.60",28,"0.1","Spegesild",21,8,"4 - 450 g glasses","$12.00",95,0,0,0
"1650.6","H","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10395,"1996-12-26 00:00:00","1997-01-23","1996","1997-01-03",1,"$184.41","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$26.20",70,"0.1","Perth Pasties",24,6,"48 pieces","$32.80",0,0,0,1
"230.4","M","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10395,"1996-12-26 00:00:00","1997-01-23","1996","1997-01-03",1,"$184.41","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$28.80",8,"0","Gudbrandsdalsost",15,4,"10 kg pkg.","$36.00",26,0,15,0
"288","M","FRANK","Frankenversand","Germany","$1,000.00",10396,"1996-12-27 00:00:00","1997-01-10","1996","1997-01-06",3,"$135.35","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$7.20",40,"0","Tunnbröd",9,5,"12 - 250 g pkgs.","$9.00",61,0,25,0
"1032","M","FRANK","Frankenversand","Germany","$1,000.00",10396,"1996-12-27 00:00:00","1997-01-10","1996","1997-01-06",3,"$135.35","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$17.20",60,"0","Flotemysost",15,4,"10 - 500 g pkgs.","$21.50",26,0,0,0
"583.8","M","FRANK","Frankenversand","Germany","$1,000.00",10396,"1996-12-27 00:00:00","1997-01-10","1996","1997-01-06",3,"$135.35","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$27.80",21,"0","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"68","L","PRINI","Princesa Isabel Vinhos","Portugal","$1,000.00",10397,"1996-12-27 00:00:00","1997-01-24","1996","1997-01-02",1,"$60.26","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa",NULL,"1756","Portugal","$8.00",10,"0.15","Sir Rodney's Scones",8,3,"24 pkgs. x 4 pieces","$10.00",3,40,5,0
"648.72","M","PRINI","Princesa Isabel Vinhos","Portugal","$1,000.00",10397,"1996-12-27 00:00:00","1997-01-24","1996","1997-01-02",1,"$60.26","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa",NULL,"1756","Portugal","$42.40",18,"0.15","Manjimup Dried Apples",24,7,"50 - 300 g pkgs.","$53.00",20,0,10,0
"432","M","SAVEA","Save-a-lot Markets","USA","$1,000.00",10398,"1996-12-30 00:00:00","1997-01-27","1996","1997-01-09",3,"$89.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$14.40",30,"0","Steeleye Stout",16,1,"24 - 12 oz bottles","$18.00",20,0,15,0
"2073.6","H","SAVEA","Save-a-lot Markets","USA","$1,000.00",10398,"1996-12-30 00:00:00","1997-01-27","1996","1997-01-09",3,"$89.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA","$19.20",120,"0.1","Pâté chinois",25,6,"24 boxes x 2 pies","$24.00",115,0,20,0
"600","M","VAFFE","Vaffeljernet","Denmark","$1,000.00",10399,"1996-12-31 00:00:00","1997-01-14","1996","1997-01-08",3,"$27.36","Vaffeljernet","Smagsloget 45","Århus",NULL,"8200","Denmark","$10.00",60,"0","Scottish Longbreads",8,3,"10 boxes x 8 pieces","$12.50",6,10,15,0
"516","M","VAFFE","Vaffeljernet","Denmark","$1,000.00",10399,"1996-12-31 00:00:00","1997-01-14","1996","1997-01-08",3,"$27.36","Vaffeljernet","Smagsloget 45","Århus",NULL,"8200","Denmark","$17.20",30,"0","Flotemysost",15,4,"10 - 500 g pkgs.","$21.50",26,0,0,0
"504","M","VAFFE","Vaffeljernet","Denmark","$1,000.00",10399,"1996-12-31 00:00:00","1997-01-14","1996","1997-01-08",3,"$27.36","Vaffeljernet","Smagsloget 45","Århus",NULL,"8200","Denmark","$14.40",35,"0","Lakkalikööri",23,1,"500 ml","$18.00",57,0,20,0
"145.6","L","VAFFE","Vaffeljernet","Denmark","$1,000.00",10399,"1996-12-31 00:00:00","1997-01-14","1996","1997-01-08",3,"$27.36","Vaffeljernet","Smagsloget 45","Århus",NULL,"8200","Denmark","$10.40",14,"0","Original Frankfurter grüne Soße",12,2,"12 boxes","$13.00",32,0,15,0
"2079","H","EASTC","Eastern Connection","UK","$1,000.00",10400,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-16",3,"$83.93","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK","$99.00",21,"0","Thüringer Rostbratwurst",12,6,"50 bags x 30 sausgs.","$123.79",0,0,0,1
"504","M","EASTC","Eastern Connection","UK","$1,000.00",10400,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-16",3,"$83.93","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK","$14.40",35,"0","Steeleye Stout",16,1,"24 - 12 oz bottles","$18.00",20,0,15,0
"480","M","EASTC","Eastern Connection","UK","$1,000.00",10400,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-16",3,"$83.93","Eastern Connection","35 King George","London",NULL,"WX3 6FW","UK","$16.00",30,"0","Maxilaku",23,3,"24 - 50 g pkgs.","$20.00",10,60,15,0
"372.6","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10401,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-10",1,"$12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$20.70",18,"0","Nord-Ost Matjeshering",13,8,"10 - 200 g glasses","$25.89",10,0,15,0
"2128","H","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10401,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-10",1,"$12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$30.40",70,"0","Gnocchi di nonna Alice",26,5,"24 - 250 g pkgs.","$38.00",21,10,30,0
"336","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10401,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-10",1,"$12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$16.80",20,"0","Louisiana Fiery Hot Pepper Sauce",2,2,"32 - 8 oz bottles","$21.05",76,0,0,0
"1032","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10401,"1997-01-01 00:00:00","1997-01-29","1997","1997-01-10",1,"$12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$17.20",60,"0","Flotemysost",15,4,"10 - 500 g pkgs.","$21.50",26,0,0,0
"432","M","ERNSH","Ernst Handel","Austria","$1,000.00",10402,"1997-01-02 00:00:00","1997-02-13","1997","1997-01-10",2,"$67.88","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$7.20",60,"0","Tunnbröd",9,5,"12 - 250 g pkgs.","$9.00",61,0,25,0
"2281.5","H","ERNSH","Ernst Handel","Austria","$1,000.00",10402,"1997-01-02 00:00:00","1997-02-13","1997","1997-01-10",2,"$67.88","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$35.10",65,"0","Vegie-spread",7,2,"15 - 625 g jars","$43.90",24,0,5,0
"248.12","M","ERNSH","Ernst Handel","Austria","$1,000.00",10403,"1997-01-03 00:00:00","1997-01-31","1997","1997-01-09",3,"$73.79","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$13.90",21,"0.15","Pavlova",7,3,"32 - 500 g boxes","$17.45",29,0,10,0
"606.9","M","ERNSH","Ernst Handel","Austria","$1,000.00",10403,"1997-01-03 00:00:00","1997-01-31","1997","1997-01-09",3,"$73.79","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$10.20",70,"0.15","Chocolade",22,3,"10 pkgs.","$12.75",15,70,25,0
"709.65","M","MAGAA","Magazzini Alimentari Riuniti","Italy","$1,000.00",10404,"1997-01-03 00:00:00","1997-01-31","1997","1997-01-08",1,"$155.97","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","$24.90",30,"0.05","Gumbär Gummibärchen",11,3,"100 - 250 g bags","$31.23",15,0,0,0
"425.6","M","MAGAA","Magazzini Alimentari Riuniti","Italy","$1,000.00",10404,"1997-01-03 00:00:00","1997-01-31","1997","1997-01-08",1,"$155.97","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","$11.20",40,"0.05","Singaporean Hokkien Fried Mee",20,5,"32 - 1 kg pkgs.","$14.00",16,0,0,1
"456","M","MAGAA","Magazzini Alimentari Riuniti","Italy","$1,000.00",10404,"1997-01-03 00:00:00","1997-01-31","1997","1997-01-08",1,"$155.97","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","$16.00",30,"0.05","Maxilaku",23,3,"24 - 50 g pkgs.","$20.00",10,60,15,0
"400","M","LINOD","LINO-Delicateses","Venezuela","$1,000.00",10405,"1997-01-06 00:00:00","1997-02-03","1997","1997-01-22",1,"$34.82","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela","$8.00",50,"0","Aniseed Syrup",1,2,"12 - 550 ml bottles","$10.00",83,0,25,0
"144","L","QUEE ","Queen Cozinha","Brazil","$1,000.00",10406,"1997-01-07 00:00:00","1997-02-18","1997","1997-01-13",1,"$108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","$14.40",10,"0","Chai",1,1,"10 boxes x 20 bags","$18.00",39,0,10,0
"216","M","QUEE ","Queen Cozinha","Brazil","$1,000.00",10406,"1997-01-07 00:00:00","1997-02-18","1997","1997-01-13",1,"$108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","$8.00",30,"0.1","Sir Rodney's Scones",8,3,"24 pkgs. x 4 pieces","$10.00",3,40,5,0
"1375.92","H","QUEE ","Queen Cozinha","Brazil","$1,000.00",10406,"1997-01-07 00:00:00","1997-02-18","1997","1997-01-13",1,"$108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","$36.40",42,"0.1","Rössle Sauerkraut",12,7,"25 - 825 g cans","$45.60",26,0,0,1
"68.4","L","QUEE ","Queen Cozinha","Brazil","$1,000.00",10406,"1997-01-07 00:00:00","1997-02-18","1997","1997-01-13",1,"$108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","$15.20",5,"0.1","Inlagd Sill",17,8,"24 - 250 g  jars","$19.00",112,0,20,0
"26.46","L","QUEE ","Queen Cozinha","Brazil","$1,000.00",10406,"1997-01-07 00:00:00","1997-02-18","1997","1997-01-13",1,"$108.04","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","$14.70",2,"0.1","Boston Crab Meat",19,8,"24 - 4 oz tins","$18.40",900,0,30,0
"504","M","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10407,"1997-01-07 00:00:00","1997-02-04","1997","1997-01-30",2,"$91.48","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$16.80",30,"0","Queso Cabrales",5,4,"1 kg pkg.","$21.00",10,30,30,0
"432","M","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10407,"1997-01-07 00:00:00","1997-02-04","1997","1997-01-30",2,"$91.48","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$28.80",15,"0","Gudbrandsdalsost",15,4,"10 kg pkg.","$36.00",26,0,15,0
"258","M","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10407,"1997-01-07 00:00:00","1997-02-04","1997","1997-01-30",2,"$91.48","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$17.20",15,"0","Flotemysost",15,4,"10 - 500 g pkgs.","$21.50",26,0,0,0
"208","M","FOLIG","Folies gourmandes","France","$1,000.00",10408,"1997-01-08 00:00:00","1997-02-05","1997","1997-01-14",1,"$11.26","Folies gourmandes","184, chaussée de Tournai","Lille",NULL,"59000","France","$20.80",10,"0","Gravad lax",17,8,"12 - 500 g pkgs.","$26.00",11,50,25,0
"35.4","L","FOLIG","Folies gourmandes","France","$1,000.00",10408,"1997-01-08 00:00:00","1997-02-05","1997","1997-01-14",1,"$11.26","Folies gourmandes","184, chaussée de Tournai","Lille",NULL,"59000","France","$5.90",6,"0","Tourtière",25,6,"16 pies","$7.45",21,0,10,0
"1379","H","FOLIG","Folies gourmandes","France","$1,000.00",10408,"1997-01-08 00:00:00","1997-02-05","1997","1997-01-14",1,"$11.26","Folies gourmandes","184, chaussée de Tournai","Lille",NULL,"59000","France","$39.40",35,"0","Tarte au sucre",29,3,"48 pies","$49.30",17,0,0,0
"223.2","M","OCEA ","Océano Atlántico Ltda.","Argentina","$1,000.00",10409,"1997-01-09 00:00:00","1997-02-06","1997","1997-01-14",1,"$29.83","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires",NULL,"1010","Argentina","$18.60",12,"0","Tofu",6,7,"40 - 100 g pkgs.","$23.25",35,0,0,0
"96","L","OCEA ","Océano Atlántico Ltda.","Argentina","$1,000.00",10409,"1997-01-09 00:00:00","1997-02-06","1997","1997-01-14",1,"$29.83","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires",NULL,"1010","Argentina","$8.00",12,"0","Sir Rodney's Scones",8,3,"24 pkgs. x 4 pieces","$10.00",3,40,5,0
"98","L","BOTTM","Bottom-Dollar Markets","Canada","$1,000.00",10410,"1997-01-10 00:00:00","1997-02-07","1997","1997-01-15",3,"$2.40","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","$2.00",49,"0","Geitost",15,4,"500 g","$2.50",112,0,20,0
"704","M","BOTTM","Bottom-Dollar Markets","Canada","$1,000.00",10410,"1997-01-10 00:00:00","1997-02-07","1997","1997-01-15",3,"$2.40","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","$44.00",16,"0","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"154","L","BOTTM","Bottom-Dollar Markets","Canada","$1,000.00",10411,"1997-01-10 00:00:00","1997-02-07","1997","1997-01-21",3,"$23.65","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","$7.70",25,"0.2","Jack's New England Clam Chowder",19,8,"12 - 12 oz cans","$9.65",85,0,10,0
"496","M","BOTTM","Bottom-Dollar Markets","Canada","$1,000.00",10411,"1997-01-10 00:00:00","1997-02-07","1997","1997-01-21",3,"$23.65","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","$15.50",40,"0.2","Gula Malacca",20,2,"20 - 2 kg bags","$19.45",27,0,15,0
"316.8","M","BOTTM","Bottom-Dollar Markets","Canada","$1,000.00",10411,"1997-01-10 00:00:00","1997-02-07","1997","1997-01-21",3,"$23.65","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada","$44.00",9,"0.2","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"334.8","M","WARTH","Wartian Herkku","Finland","$1,000.00",10412,"1997-01-13 00:00:00","1997-02-10","1997","1997-01-15",2,"$3.77","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$18.60",20,"0.1","Tofu",6,7,"40 - 100 g pkgs.","$23.25",35,0,0,0
"345.6","M","LAMAI","La maison d'Asie","France","$1,000.00",10413,"1997-01-14 00:00:00","1997-02-11","1997","1997-01-16",2,"$95.66","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France","$14.40",24,"0","Chai",1,1,"10 boxes x 20 bags","$18.00",39,0,10,0
"1576","H","LAMAI","La maison d'Asie","France","$1,000.00",10413,"1997-01-14 00:00:00","1997-02-11","1997","1997-01-16",2,"$95.66","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France","$39.40",40,"0","Tarte au sucre",29,3,"48 pies","$49.30",17,0,0,0
"201.6","M","LAMAI","La maison d'Asie","France","$1,000.00",10413,"1997-01-14 00:00:00","1997-02-11","1997","1997-01-16",2,"$95.66","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse",NULL,"31000","France","$14.40",14,"0","Lakkalikööri",23,1,"500 ml","$18.00",57,0,20,0
"124.83","L","FAMIA","Familia Arquibaldo","Brazil","$1,000.00",10414,"1997-01-14 00:00:00","1997-02-11","1997","1997-01-17",3,"$21.48","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil","$7.30",18,"0.05","Teatime Chocolate Biscuits",8,3,"10 boxes x 12 pieces","$9.20",25,0,5,0
"100","L","FAMIA","Familia Arquibaldo","Brazil","$1,000.00",10414,"1997-01-14 00:00:00","1997-02-11","1997","1997-01-17",3,"$21.48","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil","$2.00",50,"0","Geitost",15,4,"500 g","$2.50",112,0,20,0
"62.4","L","HUNGC","Hungry Coyote Import Store","USA","$1,000.00",10415,"1997-01-15 00:00:00","1997-02-12","1997","1997-01-24",1,"$0.20","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","$31.20",2,"0","Alice Mutton",7,6,"20 - 1 kg tins","$39.00",0,0,0,1
"40","L","HUNGC","Hungry Coyote Import Store","USA","$1,000.00",10415,"1997-01-15 00:00:00","1997-02-12","1997","1997-01-24",1,"$0.20","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","$2.00",20,"0","Geitost",15,4,"500 g","$2.50",112,0,20,0
"146","L","WARTH","Wartian Herkku","Finland","$1,000.00",10416,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-27",3,"$22.72","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$7.30",20,"0","Teatime Chocolate Biscuits",8,3,"10 boxes x 12 pieces","$9.20",25,0,5,0
"262","M","WARTH","Wartian Herkku","Finland","$1,000.00",10416,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-27",3,"$22.72","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$26.20",10,"0","Perth Pasties",24,6,"48 pieces","$32.80",0,0,0,1
"312","M","WARTH","Wartian Herkku","Finland","$1,000.00",10416,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-27",3,"$22.72","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$15.60",20,"0","Ravioli Angelo",26,5,"24 - 250 g pkgs.","$19.50",36,0,20,0
"10540","H","SIMOB","Simons bistro","Denmark","$1,000.00",10417,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-28",3,"$70.29","Simons bistro","Vinbæltet 34","Kobenhavn",NULL,"1734","Denmark","$210.80",50,"0","Côte de Blaye",18,1,"12 - 75 cl bottles","$348.48",17,0,15,0
"14.4","L","SIMOB","Simons bistro","Denmark","$1,000.00",10417,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-28",3,"$70.29","Simons bistro","Vinbæltet 34","Kobenhavn",NULL,"1734","Denmark","$9.60",2,"0.25","Spegesild",21,8,"4 - 450 g glasses","$12.00",95,0,0,0
"270","M","SIMOB","Simons bistro","Denmark","$1,000.00",10417,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-28",3,"$70.29","Simons bistro","Vinbæltet 34","Kobenhavn",NULL,"1734","Denmark","$10.00",36,"0.25","Scottish Longbreads",8,3,"10 boxes x 8 pieces","$12.50",6,10,15,0
"364","M","SIMOB","Simons bistro","Denmark","$1,000.00",10417,"1997-01-16 00:00:00","1997-02-13","1997","1997-01-28",3,"$70.29","Simons bistro","Vinbæltet 34","Kobenhavn",NULL,"1734","Denmark","$10.40",35,"0","Original Frankfurter grüne Soße",12,2,"12 boxes","$13.00",32,0,15,0
"912","M","QUICK","QUICK-Stop","Germany","$1,000.00",10418,"1997-01-17 00:00:00","1997-02-14","1997","1997-01-24",1,"$17.55","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$15.20",60,"0","Chang",1,1,"24 - 12 oz bottles","$19.00",17,40,25,0
"418","M","QUICK","QUICK-Stop","Germany","$1,000.00",10418,"1997-01-17 00:00:00","1997-02-14","1997","1997-01-24",1,"$17.55","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$7.60",55,"0","Zaanse koeken",22,3,"10 - 4 oz boxes","$9.50",36,0,0,0
"364.8","M","QUICK","QUICK-Stop","Germany","$1,000.00",10418,"1997-01-17 00:00:00","1997-02-14","1997","1997-01-24",1,"$17.55","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$22.80",16,"0","Sirop d'érable",29,2,"24 - 500 ml bottles","$28.50",113,0,25,0
"120","L","QUICK","QUICK-Stop","Germany","$1,000.00",10418,"1997-01-17 00:00:00","1997-02-14","1997","1997-01-24",1,"$17.55","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$8.00",15,"0","Longlife Tofu",4,7,"5 kg pkg.","$10.00",4,20,5,0
"1550.4","H","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10419,"1997-01-20 00:00:00","1997-02-17","1997","1997-01-30",2,"$137.35","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$27.20",60,"0.05","Camembert Pierrot",28,4,"15 - 300 g rounds","$34.00",19,0,0,0
"547.2","M","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10419,"1997-01-20 00:00:00","1997-02-17","1997","1997-01-30",2,"$137.35","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$28.80",20,"0.05","Gudbrandsdalsost",15,4,"10 kg pkg.","$36.00",26,0,15,0
"1396.8","H","WELLI","Wellington Importadora","Brazil","$1,000.00",10420,"1997-01-21 00:00:00","1997-02-18","1997","1997-01-27",1,"$44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$77.60",20,"0.1","Mishi Kobe Niku",4,6,"18 - 500 g pkgs.","$97.00",9,0,0,1
"8.64","L","WELLI","Wellington Importadora","Brazil","$1,000.00",10420,"1997-01-21 00:00:00","1997-02-18","1997","1997-01-27",1,"$44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$4.80",2,"0.1","Konbu",6,8,"2 kg box","$6.00",24,0,5,0
"86.4","L","WELLI","Wellington Importadora","Brazil","$1,000.00",10420,"1997-01-21 00:00:00","1997-02-18","1997","1997-01-27",1,"$44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$12.00",8,"0.1","Outback Lager",7,1,"24 - 355 ml bottles","$15.00",15,10,30,0
"216","M","WELLI","Wellington Importadora","Brazil","$1,000.00",10420,"1997-01-21 00:00:00","1997-02-18","1997","1997-01-27",1,"$44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$12.00",20,"0.1","Röd Kaviar",17,8,"24 - 150 g jars","$15.00",101,0,5,0
"24.82","L","QUEDE","Que Delícia","Brazil","$1,000.00",10421,"1997-01-21 00:00:00","1997-03-04","1997","1997-01-27",1,"$99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$7.30",4,"0.15","Teatime Chocolate Biscuits",8,3,"10 boxes x 12 pieces","$9.20",25,0,5,0
"747","M","QUEDE","Que Delícia","Brazil","$1,000.00",10421,"1997-01-21 00:00:00","1997-03-04","1997","1997-01-27",1,"$99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$24.90",30,"0","Gumbär Gummibärchen",11,3,"100 - 250 g bags","$31.23",15,0,0,0
"334.05","M","QUEDE","Que Delícia","Brazil","$1,000.00",10421,"1997-01-21 00:00:00","1997-03-04","1997","1997-01-27",1,"$99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$26.20",15,"0.15","Perth Pasties",24,6,"48 pieces","$32.80",0,0,0,1
"88.4","L","QUEDE","Que Delícia","Brazil","$1,000.00",10421,"1997-01-21 00:00:00","1997-03-04","1997","1997-01-27",1,"$99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$10.40",10,"0.15","Original Frankfurter grüne Soße",12,2,"12 boxes","$13.00",32,0,15,0
"49.8","L","FRANS","Franchi S.p.A.","Italy","$1,000.00",10422,"1997-01-22 00:00:00","1997-02-19","1997","1997-01-31",1,"$3.02","Franchi S.p.A.","Via Monte Bianco 34","Torino",NULL,"10100","Italy","$24.90",2,"0","Gumbär Gummibärchen",11,3,"100 - 250 g bags","$31.23",15,0,0,0
"140","L","URL  ","Gourmet Lanchonetes","Brazil","$1,000.00",10423,"1997-01-23 00:00:00","1997-02-06","1997","1997-02-24",3,"$24.50","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brazil","$10.00",14,"0","Gorgonzola Telino",14,4,"12 - 100 g pkgs","$12.50",0,70,20,0
